Dao_title,categories,about,blockchain,followers
polymath dao,"['DAO Tools', 'DeFi']","Decentralized protocol that operates on the Ethereum
",Ethereum,76300.0
closer dao,"['Protocol', 'Social']","Upcoming social hub for communities, micro and large scale DAOs, their governance and user identity management
",Binance,0.0
aladdindao,['other'],"Farm with DeFi Big Brains
http://aladdin.club
",Ethereum,17800.0
honeydao,['other'],"HoneyDAO is a collective of influencers, investors, developers and founders working towards improving DeFi, one project at a time.
",Ethereum,4000.0
hop protocol dao,"['DAO Tools', 'DeFi']","Protocol for sending tokens across rollups and their shared layer-1 network in a quick and trustless manner
",Ethereum,121000.0
london night club dao,"['other', 'other', 'other', 'other']","THE PARTY NEVER STOPS
 London DAO is a passionate community of degens collaborating to design artful experiences that celebrate innovation in Ethereum culture. Working at the intersection of new technologies, art, and the exploration of significant moments in blockchain history, our vision is to be a champion of ETH culture, supporting the growth of projects and useful tools, and highlighting influential artists.
",,0.0
arcx dao,"['Protocol', 'DeFi']","A decentralized scoring protocol that powers on-chain identity through the issuance of a DeFi Passport
",Ethereum,17800.0
blu3 dao,"['Social', 'Social Impact']","Empowering women, nonbinary, and allies to learn, earn, and play in web3 to achieve financial freedom
 Blu3 DAO’s mission is to empower women to achieve financial freedom through learning, exploring and building their careers in the Web3 space. Our goal is to grow and diversify the crypto ecosystem by focusing on an end-to-end solution that is fair and frictionless. This includes onboarding, education and direct deployment of women talents into Web3 – as users and leaders. We are an ALL-inclusive DAO, and open our arms to women, non-binary, and allies.
",,0.0
herobabiesclubdao,"['other', 'other', 'other', 'other']","1st “stake to redeem” NFT Project, redeem coolest web3.0 products out there!
",,0.0
panda paradise dao,"['Collector', 'Social']","A collection of 8,888 unique, randomly generated Panda Humanoids adventuring on the Ethereum blockchain as ERC-721 NFTs
",Ethereum,27300.0
dorg dao,['other'],"dOrg is a full-stack Web3 development collective, rewarding for reputation and product use.
 
dOrg is an autonomous collective of engineers, designers, and other web3
specialists. We build tools that empower people to self-organize.


dOrg aims to become the best service provider, workplace, and example of what is
possible to achieve with web3 technology.


We are working to realize the web3 vision of a decentralized internet that
empowers individuals and communities everywhere.


Read more about dOrg on our Handbook https://docs.dorg.tech/


Mission & Vision 


We envision a future where power is radically decentralized – people can easily
coordinate and transact without intermediaries; institutions are transparent and
responsive to the needs of their constituents; voluntary collectives outcompete
coercive monopolies; wealth is fairly distributed; and machines handle the
boring work while humans focus on meaningful pursuits.


We believe that web3 will be a key part of this future and we’re here to build
it.


Values

",,0.0
raccoon & boar mafia dao,['Collector'],"NFT collection
",Ethereum,19700.0
subdao,['DAO Tools'],"Make DAO easier to use and more powerful
",,0.0
x world games dao,"['Gaming', 'Collector']","Makes XWG token holders decide the platform governance policy or the next in-game development, including reward mechanisms and tokenomic systems
",Binance,437900.0
pixelglyph dao,['Collector'],"A set of 10,000 unique on-chain avatar NFTs created using a cellular automaton on the Ethereum blockchain
",Ethereum,5600.0
kudasaidao,['Social'],"Crypto Community KUDASAI JP
",,0.0
shabu town dao,"['Gaming', 'Metaverse', 'Social', 'Media']","A new metaverse  where crypto fans can meet new friends, hang out, have fun, play games, find new projects, etc.
",Ethereum,11100.0
trojan dao,"['DAO Tools', 'DeFi']","A fork of Moloch to serve art experiments bridging web3 and IRL.
",Ethereum,1700.0
gilded dao,"['DAO Tools', 'Protocol', 'DeFi', 'other']","Allows blockchain powered businesses effortlessly accept payments, pay team members, and deliver on financial reporting requirements
",Ethereum,2100.0
lobby dao,['other'],"Join the fight against harmful crypto regulations.
",,0.0
kleros dao,['Protocol'],"A decentralized arbitration protocol for disputes in the web3 economy
",Ethereum,41300.0
vader protocol dao,['DeFi'],"The Father of Decentralized Liquidity
",Ethereum,9400.0
kaiju queenz genesis dao,"['other', 'other', 'other', 'other']","3,333 Kaiju Queenz enter the metaverse.
",,0.0
futera united dao,"['other', 'other', 'other', 'other']","‘1 of 1’ digital football cards that let YOU manage a real club, from the world famous creator of sports cards at Futera!
",,0.0
88mph dao,"['DAO Tools', 'DeFi']","the best place to start earning a fixed yield rate on assets secured with leading non-custodial fully on-chain protection measures
",Ethereum,21400.0
piedao,"['Protocol', 'DeFi', 'Social']","Asset allocation DAO for decentralized market-weighted portfolio allocations
 PieDAO is a community DAO focused on tokenising automated wealth creation strategies. The DAO’s first line of products are Balancer Smart Pools, constant weight index funds, PieVaults, yield-generating tokenized portfolio allocations with productive assets, and The Oven, a system that allows users to save gas on expensive transactions by batching them together.
",Ethereum,24000.0
tron dao,['DAO Tools'],"DECENTRALIZE THE WEB
 DECENTRALIZE THE WEB
",Binance,43000.0
socean dao,['DeFi'],"The best risk-free yields on Solana
",Solana,2500.0
hypha dho dao,"['other', 'other', 'other', 'other']","A DAO based on holacratic and sociocratic principles. Fee-free on-chain governace. Roles, Assignments, contribution requests and treasury management.
",Bitcoin,1500.0
hubble dao,['DeFi'],"Multi-collateral/Cross-Margin Perpetual Futures on Avalanche
",Avalanche,7600.0
union dao,"['DeFi', 'Protocol', 'Investment']","Union enables any wallet address to lend, borrow, or build credit onchain in a permission-less, crypto-native way.
 Union is a member-owned credit protocol built on Ethereum, in which members can underwrite lines of credit to other member addresses. The protocol itself is not an underwriter of risk, but rather a mechanism to lower the cost of coordinating trust into available credit. Get vouches to borrow, lend to friends and vote to define the future of Union.
",,0.0
citydao,['Social'],"Building a city on the ethereum blockchain, starting by collectively buying land in Wyoming using the new Wyoming DAO LLC law.
 CityDAO is building the city of the future on the ethereum blockchain by tokenizing land, rights, and governance.
",Ethereum,60600.0
0x dao,['DAO Tools'],"Decentralized exchange infrastructure for the internet
 Decentralized exchange infrastructure for the internet",Ethereum,284200.0
matrixdao,"['Investment', 'Venture Capital']","MatrixDAO is a community-driven research DAO that aims to explore emerging investment opportunities in Web 3.0.
 We integrate the wisdom and resources of the DAO’s members to accelerate our portfolios, shifting the paradigm of crypto investments from venture capital to collaborative contributions from the community.
",,0.0
astrodao,"['DAO Tools', 'other']","Launch your DAO in less than 10 minutes without a line of code.
",NEAR,0.0
buidlerstribe dao,"['Investment', 'Venture Capital']","Decentralize advisory and early investments
 A high-trust network of buidlers
",Polygon,1400.0
scalar capital dao,['Venture Capital'],"A hedge fund company specializing in cryptoassets.
",Ethereum,14800.0
planet finance dao,"['Protocol', 'DeFi']","Financial protocol consisting of different planets, each their own app, designed to enable anyone to activate their capital and put it to work
",Binance,7800.0
space riders nft dao,"['DeFi', 'Social']","Owning a Space Rider grants member access to the Spaceport - a district where the Riders reside
 Space Riders is a collection of 8,888 NFTs that are deployed on the Ethereum blockchain. These NFTs are made up of astral like space explorers that take on a simple, but unique look. Space Riders are colorful, distinctive, and carry many traits that we all know and love. They pose to act as a reflection of all of us riding the space in web3. Most of us have become devoted to the NFT space in one way or another, therefore have spent lots of time learning about this rapid growing network. It’s busy, delicate, and very perplexing at times. What we aim to provide with Space Riders, is not only cool art that you can resonate with, but to bring riders of the space together.
",Ethereum,14600.0
the tower dao,['Social'],"Futuristic skyscraper in the metaverse of Solana
 When you become a Resident you join a welcoming community of builders, artists, musicians, NFT investors, and more. Tower exists to open doors to your future in crypto and web3 while creating fun and memorable experiences.
",Ethereum,30100.0
gods unchained dao,['Gaming'],"A free-to-play tactical card game that gives players true ownership of their in-game items.
",Ethereum,100900.0
lil baby ape club dao,"['other', 'other', 'other', 'other']","One day, a bunch of apes became really bored and decided, its time to have a family. Join the Club and let’s cause MAYHEM.
",,0.0
floki dao,['other'],"#Floki is the people’s cryptocurrency and utility token of the Floki Ecosystem!
",,0.0
diadata dao,"['DAO Tools', 'Protocol', 'other']","Open-source data platform that allows market actors to supply, share and use transparent, crowd-verified data and oracles for DeFi
 DIA (Decentralised Information Asset) is a cross-chain, end-to-end, open-source data and oracle platform for Web3.
",Ethereum,53700.0
octopuos dao,['Entertainment'],"OctopuoS is a fun, gamified, $SOUP filled experience with true DAO immersion.
",,0.0
ladz dao,"['other', 'other', 'other', 'other']","A Content Network and Creator Collective for the NFT and Web3 industry
",,0.0
fbomb finance dao,['DeFi'],"The first native token on the Fantom ecosystem
",Fantom,0.0
sportx dao,"['Entertainment', 'Social Impact']","Sports blockchain
 All Sports X is blockchain dedicated to sports marketing, sports IP NFT asset trading, sports middle-tier infrastructure implementation and game application development.
",Ethereum,1100.0
necdao,['DeFi'],"NECDAO empowers the community to democratically drive development of the Nectar ecosystem whilst giving people the world-over a new way to pitch and be rewarded for their talents.
 The Nectar DAO (necDAO) is the decentralized nerve-centre of Nectar. It empowers the community to democratically drive development of the Nectar ecosystem whilst giving people the world-over a new way to pitch and be rewarded for their talents.
",Ethereum,5900.0
illuvinati governance dao,['Gaming'],"Illuvium is an open-world fantasy battle game built on the Ethereum blockchain. Often touted as the first AAA game on Ethereum, Illuvium looks to provide a source of entertainment to both casual gamers and hardcore DeFi fans through a range of collecting and trading features.
",Ethereum,547100.0
framework ventures dao,"['DAO Tools', 'DeFi', 'Investment']","Thesis-driven crypto venture firm that builds alongside our founders
 We partner with founders and teams to build token-based networks and develop the requisite cryptoeconomics, governance, and community to scale.
",Ethereum,43400.0
ichi.farm dao,['other'],"Empowering Crypto Projects With Community-Controlled DeFi.
 ICHI is a Decentralized Autonomous Organization (DAO) that gives crypto projects the tools they need to participate in DeFi more efficiently.
",,0.0
anoma dao,"['DAO Tools', 'Social', 'Protocol']","A sovereign, proof-of-stake blockchain that enables private, asset-agnostic bartering among any number of parties.
",Ethereum,47600.0
okcoin dao,['DeFi'],"Global cryptocurrency exchange with the lowest fees around
",Polygon,176800.0
mr. bojangles dao,['Collector'],"Environmentally charitable frictionless yield farming protocol that is designed to incentivize $Sleepy Sloth’s to hold due to its burn & redistribution mechanism.
",Ethereum,6800.0
charmverse dao,"['other', 'other', 'other', 'other']","CharmVerse is a web3 operations platform handling docs, tasks, bounties, and proposals.
 CharmVerse is a web3 operations platform handling docs, tasks, bounties, and proposals. It is a place for team contributors to coordinate day-to-day work, sign in with crypto wallets, and unlock workspaces with tokens/NFTs.
",,0.0
bunny dao,['DeFi'],"Bunny is a Defi Yield Farming Aggregator and Optimizer for the Binance Smart Chain and Polygon.
 The greater ecosystem of decentralized finance (DeFi), particularly the yield aggregators, experienced very significant growth in 2020. From there, optimization opportunities emerged that the team felt poised to innovate upon.
The Bunny protocol was created to provide users with an easy way to automatically compound the returns of their investments made through the Binance BSC Smart Chain (BSC) and more recently the Polygon Chain.
",Binance,21700.0
npc guild dao,"['other', 'other', 'other']","The NPC Guild handles all matters relating to NPCs in the metaverse.
",Polygon,0.0
shibuya dao,"['other', 'other', 'other', 'other']","Shibuya is a decentralized film distribution platform
",,0.0
pube dao,['Social Impact'],"PUBE Finance DAO
 The PUBE Finance Protocol is a community-driven, fair-launched DeFi token with a focus on charity.
We envisage a future where everyone can pay with pubes.
On each transaction, two simple functions occur: holders earn free tokens (reflection) and the liquidity pool grows. Join us on our journey to the moon while making the world a better place.
",Binance,3300.0
unlock protocol dao,"['Collector', 'Protocol']","Ʉnlock is an open source protocol for memberships as NFTs!
 Unlock is meant to help creators find ways to monetize without relying on a middleman. It’s a protocol — and not a centralized platform that controls everything that happens on it.
",,0.0
social impact dao llc dao,['Social Impact'],"To empower communities through disrupting and revolutionizing how “treatment” of substance use disorders, mental health, and housing for homelessness occurs.  Bringing state-of-the-art technology to empowerment, healing, and consequently sobriety.
 By shifting profits from the substance use disorders and mental health treatment industry, we can subsidize the healing aspects of how to support people and communities with needed resources, addressing social determinants of health, including housing.
",,0.0
mint fund dao,"['other', 'other', 'other', 'other']","Community-owned initiative helping crypto creators mint their first NFTs → http://discord.gg/6gkQbSENKQ
 Mint Fund is a community project created with the sole purpose to build a support network for artists interested in bringing their art into the world of crypto as NFTs.
We provide creators with the funds (known as gas costs) needed to mint their first NFT. The team also offers guidance, mentorship, and advice for our growing community of creators.
The fund is accessible to all creators, though we prioritize BIPOC and LGBTQIA+ creators, especially outside of North America and the European Union.
We’ve received an overwhelming amount of applications to join the Mint Fund. We are currently reviewing submissions and will notify accepted artists about next steps. Thank you to the community for your support of the Mint Fund and we hope to be able to open up rolling applications again soon
",Ethereum,8300.0
cronosports dao,"['Entertainment', 'Gaming']","Welcome to the first DAO protocol innovating the Methodology through Zero Loss Betting
 CronoSports is the only platform where your privacy and fun walk side by side. The best web3 Sports & Esports betting platform driven by the community. Instant withdrawals and deposits, never leaving you in the lurch. Come bet on chain with us!
",,0.0
safepal dao,"['DeFi', 'Investment']","1st Tokenized Crypto Hardware Wallet Backed by @Binance $SFP Token
",,0.0
degate dao,['Protocol'],"A fairly launched, DAO-centric, Ethereum Layer 2 trading protocol. Make Decentralized Exchange Mainstream
",Ethereum,22300.0
refraction dao,"['Social', 'Media']","We’re a community of diverse music, art, and culture enthusiasts who will own a festival, ongoing events, and spaces worldwide.
 Refraction is a diverse community who produce festivals and ongoing events, release NFT projects, and create written, visual, and audio content around art, culture, and music today. This year’s festival will happen across the globe, with the performances, installations and music sets being recorded to culminate in an extended festival in the Open Metaverse.
",,0.0
nifty's dao,"['other', 'Collector']","Social NFT platform
 We will not rest until 1 billion people are collecting NFTs.
",Ethereum,103300.0
balancer dao,"['DeFi', 'Investment']","Platform for programmable liquidity
",Ethereum,131300.0
thor financial dao,"['other', 'other', 'other', 'other']","Next Generation Hybrid Protocol on the Avalanche Ecosystem. Battling for the highest yields across the chains.
",,0.0
3x3punks dao,"['other', 'other', 'other', 'other']","3x3Punks is a collection of 10,001 generated 3D brick Punks with all attributes and color palette inspired from Cryptopunks with carefully selected real-life Lego color background and stylized light environment from dawn to sunset make it more colorful.
",,0.0
tokenomics dao,['other'],"The Tokenomics DAO increases the collective understanding of tokenomics in web3 by providing relevant content and services to web3 users, builders and investors. Our DAO will be an accessible community of content producers, tool developers and trusted consultants.
 A community of people interested in tokenomics. Learning, discussing and teaching how tokenomics can be used in web2 and web3 projects. We produce educational content and consult others on how to implement their tokenomics.
",,0.0
leek dao,"['other', 'other', 'other']","Look for those bruised and bruised leeks scattered around every corner, and the leeks community will pick them up!
",,0.0
spear finance  dao,"['DeFi', 'Investment']","A 10 year financial ecosystem designed for sustainable passive income
",,0.0
minotaur money dao,['Venture Capital'],"Decentralized Reserve Currency and VC on Cronos Network
 Minotaur.Money is a reserve currency and decentralized VC on the Cronos Network that employs transaction tax redistribution to stakers as a holding incentive!
Its reserve currency asset, MINO, is backed by a mixed basket of assets (e.g., CRO, WBTC, WETH, DAI) in the Treasury, and the Treasury assets are deployed to make profit for the DAO. The protocol employs Fractionality to enable treasury funds to be deployed for decentralized VC, cross-chain liquidity farming, or incentivizing votes for liquidity rewards. Additional staking of wsMINO tokens provides extra rewards for MINO stakers! The Minotaur.Money protocol employs the dynamics of staking and minting (aka bonding) to create a crypto-denominated reserve currency in the Cronos ecosystem.
",,0.0
sarcophagus dao,['DAO Tools'],"A decentralized dead man’s switch application built on ETH and Arweave
",Ethereum,6600.0
nuke vaults dao,"['other', 'other', 'other']","Nuke Vaults was created with the mission to become a simple, secure and easy to use dapp to get Yield on Stablecoins in Layer 2 and Sidechains.
",,0.0
badger dao,"['DeFi', 'other']","Building Products to Bring BTC to DeFi.
",Ethereum,57000.0
blocks dao,['other'],"Connecting Industries to Blockchain in The World’s First DAO, LLC
",,0.0
rena dao,['DeFi'],"rGov is the first step in the creation of the RENA DAO, to participate, stake your ITS and rGov will be minted at a 1:100 ratio.
 RenaSwap is a one-sided automated market maker-based decentralized token swap protocol which utilizes token wrappers, buy-only liquidity pairs, and circulating asset flows to amplify volume for all tokens integrated with RenaSwap. We call this Volume Aggregation as it gives new life to all participating projects in the form of increased volume, which attracts more liquidity, increasing incentives for Liquidity Providers. Its specialized design utilizes RENA, our deflationary ERC-20 utility token, to tap into the numerous capital flows moving through interoperating DEXs and share a percentage of those flows with ETH/RENA liquidity providers.
",Ethereum,2300.0
starsharks dao,['other'],"StarSharks is a NFT-GameFi ecosystem. It enables players come together to build and govern a new metaverse and create a community culture in the Shark-metaverse.
",,0.0
ksfswap dao,"['other', 'other', 'other']","Decentralized AMM and Yield Farming, Staking, KFO and many more on KuCoin Community Chain.
",,0.0
wagmisaurus dao,"['Collector', 'Media']","The wagmiSaurus Project was created with one goal in mind - WAGMI - We’re All Going to Make It. Uniting different NFT projects and fostering growth in the web3 community
 With the new and upcoming forms of digital assets and the increasing attention to web3 (in particular to NFTs) and the Metaverse, we see as a critical mission to onboard people that are new to the space. ‘Newbies’ might be turned away or feel lost due to the complexity and nuances of owning, investing and collecting digital assets. That’s where the WagmiSaurus Project and DAO comes in, creating a safe environment with a learning curve that is reduced and made smooth due to the our critical members and learning resources provided to any new members of the DAO.
",,0.0
stoned apez dao,['Collector'],"6,969 of the most stoned NFT project
",Ethereum,7500.0
lava financial dao,['other'],"Welcome to the most explosive place in DeFi.
",,0.0
forcedao,"['Venture Capital', 'Social']","Quantitative Hedge Fund for DeFi
 ForceDAO is a collective of investment strategists working to identify and productize alpha across DeFi. We started with Yield Automation on Ethereum, and have begun expanding with new products on Polygon.
",Ethereum,13800.0
star gate dao,['Gaming'],"Members will also join the Stargate DAO, where they will vote on topics such as future benefits, royalty decisions, etc.
",,0.0
rocket pool dao,['Protocol'],"Rocket Pool is the first truly decentralised Ethereum staking pool.
 Rocket Pool is a first of its kind ETH2 Proof of Stake Protocol, designed to be community owned, decentralised, trustless and compatible with staking in Ethereum 2.0. It was first conceived in late 2016 and has since had over 5 successful public betas over the life span of ETH2 development.
",Ethereum,16000.0
uniwhales dao,"['DAO Tools', 'DeFi']","Cutting edge DeFi data analytics
",Ethereum,15700.0
tranchess dao,['Protocol'],"We developed Tranchess because we saw the market’s need and wanted to use such a protocol to help better manage our portfolios while making crypto investments.
",,0.0
cream finance dao,['Protocol'],"C.R.E.A.M. Finance is a decentralized lending protocol for individuals and protocols to access financial services.
 The protocol is permissionless, transparent, and non-custodial. Currently, C.R.E.A.M. is live on Ethereum, Binance Smart Chain, and Fantom.
C.R.E.A.M. Finance’s smart contract money markets are focused on longtail assets – with the goal of increasing capital efficiency for all assets in crypto markets.
Users are able to lend any supported assets on our markets, and use the provided capital as collateral to borrow another supported asset.
C.R.E.A.M. offers a wide range of tokens on our money markets, including: stablecoins (USDT, USDC, BUSD); interest-bearing stablecoins (yCRV, yyCRV); defi tokens (YFI, SUSHI, CREAM, CREAM); LP-tokens (USDC-ETH SLP, WBTC-ETH SLP); and other cryptocurrencies (ETH, LINK). This list is not exhaustive.
",Ethereum,93600.0
apy.finance dao,['DeFi'],"APY.Finance makes it easy for individual traders to maximize their opportunities within sophisticated crypto markets
",Binance,27900.0
alexdao,"['other', 'other', 'other', 'other']","PeopleDAO is a metaDAO governed by $PEOPLE token. From the people, To the people, For the people.
",,0.0
keyfi dao,['DeFi'],"Intelligent tools for managing your #DeFi portfolio
 KeyFi is an app-based platform for managing decentralized finance (DeFi). Manage your assets across multiple protocols, including Compound, Aave and others. With the KeyFi app users can swap, stake, rebalance, deposit and withdraw their assets all from one platform. The platform also offers token staking incentives that require a unique decentralized identity credential, which is powered by SelfKey.
",Ethereum,2500.0
super shiba club dao,['Collector'],"Super Shibas are 10,000 unique NFT Shibas each come with different art and design.
",Ethereum,8500.0
gmdao,"['other', 'other', 'other', 'other']","Community of NFT collectors, artists & investors.
",,0.0
alchemist dao,['DeFi'],"Alchemist is a community-built hub & incubator, building a fair & transparent crypto ecosystem
 There is no “dev team”. There is no company. There is only a community of Alchemists figuring out what to build in the open.
There is no roadmap. An Alchemist never makes forward-looking statements, simply because the future is unpredictable.
Alchemist is a community driven builders hub and Incubator, working with like minded developers to finance, incubate and empower small agile teams; building products that promote a fairer and more transparent crypto ecosystem whilst growing the Alchemist community.
Some popular Alchemist projects include Copper, the platform for open, transparent, and user-friendly participation in Balancer Liquidity Bootstrapping Pools and Crucible, the smart contract, non-custodial, staking wallet and NFT.
",,0.0
oceandao,['Protocol'],"This grants DAO curates the ecosystem of Ocean protocol - a marketplace and Automatic Market Maker for tokenized datasets, including layered access to private data.
",Ethereum,11200.0
shremhouse dao,"['other', 'other', 'other', 'other', 'other']","A decentralized venture based on DAO
 ShremHouse was established in 2020 and has four core teams. When we knocked down the first letter of the white paper, we were deeply excited. We are very happy to be able to establish a decentralized investment institution to provide transparent and clear information for all people who love and enjoy the gospel brought by blockchain technology. income.
DAO is our organizational form. We believe that the outstanding features of blockchain, such as decentralization, transparency, security, and freedom, can help investment institutions with DAO as the organizational form to bring more efficient and high-yield investment portfolios, and Every partner in the community can enjoy the transparent and efficient return brought by DAO.
We are committed to investments based on Metaverse and Web30 technologies. Both games, BBS, and NFT markets will become the investment targets of our community. Community members are eligible to vote on ShremHouse’s investment targets, share profits and share risks.
Two years ago, when we decided to enter the block world, we believed that this was the future, and we believed that when we truly entered the meta-universe 50 years later, we hope that the blueprint of the meta-universe will be constructed by every member of the ShremHouse community .
",,0.0
mad realities dao,"['other', 'other', 'other', 'other']","he world’s first interactive dating show where the community decides what happens (and who happens).
",,0.0
sphere finance dao,['DeFi'],"The center of DeFi - earn revenue from multiple innovative streams by holding one token.
",,0.0
gnars dao,"['Grant', 'Social Impact']","Community of extreme sports enthusiasts helping Nouns Athletes reach the people, places and things that bring out their best.
",,0.0
niftyx protocol dao,"['Protocol', 'DeFi']","Protocols and building primitives for the Open Metaverse
 Niftyx is building the infrastructure required to easily deploy and connect niche-focused global NFT markets ensuring a neutral playing field for creators, users and private firms.
",Ethereum,4900.0
whitehatdao,"['other', 'Protocol', 'DAO Tools']","Our mission is to provide high level security integration for Web3 communities who are aligned with our vision.
",,0.0
